index,content,NER,time
58,Dunkey LongLostSon Yeah He's the definition of a scrub,,9 năm trước
59,FireNinja6o6 Had this bill been voted on and passed Chuggaaconroy wouldn't be able to stream gameplay because it would violate US copyright laws This was a video to raise awareness it wasn't meant to be focused on DSP,,9 năm trước
60,boogie2g88 is biased Ghost Banned x2 I don't care if this video was meant to be an accurate premonition of the future that would greatly affect society's well being The fact is he still got over 23000 likes on a video before and I don't think he deserved that at all on any video he puts out considering he's done so much idiotic choices in the past and has said some of the most stupid arguments and opinions I've seen a human being say along with him being unfunny and terrible at video games That's like giving fame and wealth to an adult with an IQ less than an average child's one Thank goodness he hasn't garnered this much likes on a video before But whatever it's just my opinion You don't have to agree with me,,9 năm trước
61,FireNinja6o6 This video came out back before people found him insufferable He probably doesn't deserve the likes but they don't have much meaning,,9 năm trước
62,boogie2g88 is biased Ghost Banned x2 True he wasn't that bad until his Metal Gear Solid 2 Let's Play And I shouldn't care that much about likes on people's videos anyway,,9 năm trước
63,FireNinja6o6 Yeah he's really gone to shit He was alright back then but then again we didn't have that many options when it came to gameplay playthroughs,,9 năm trước
64,I thought Machinima had the permission of the video game companies already,,13 năm trước
65,It would also greatly effect LARGE businesses like Google who depend on videos like this to present adserts on without actually having to create the video's themselves Finding another 'legal' media set of videos like these that people would actually want to 'view' would be kind of difficult because lets face it who wants to see Little Billies Baseball Game on Youtube?,,12 năm trước
66,If they pass this bill it will be end of ALL OF US!!!,,12 năm trước
67,@kirbzol What I am asking is that Is creating video for a copyrighted software playing a game or a tutorial for using photoshop considered public performance of a copyrighted material? I am asking if video tutorials falls into this category as well,,12 năm trước
68,Government's first duty is to protect the people not run their lives Ronald Reagan,,12 năm trước
69,LPs are one of the main methods by which I decide to buy a gaming system or a game To get rid of it seems counterproductive,,13 năm trước
70,This was back when Ga Comcast's classic video gameHappy Tree Friends etc channel was still in operation And I used to watch HTF after Walmart trips with my late mom I was watching PBSfanatic's PBS Kids before trips I also got into Cars 2 and Lion King as well as the end of Discovery Kids AND ABC Kids by then Plus I watched a lot of Fairly OddParents TV spoofs Max Ruby and insurance ads,,1 năm trước
71,I'm pretty sure there are things more important than this going on in the world that the government needs to worry about,,12 năm trước
72,This would get so many people arrested most of them under 18,,12 năm trước
73,They would likely put in the terms of service that you're allowed to stream their gameplay,,12 năm trước
74,According to the Congressmen who proposed this anything that was previously legal won't be made illegal so according to them video game streaming won't be illegal However making copyright streaming a felony seems a bit drastic to me and I'd almost consider it draconian in nature A felony in the US means quite a lengthy amount of jail time and a hefty fine even in the best of cases and I think this is just too much for simple online piracy especially when you can just remove the content,,13 năm trước
75,passing this bill will mean no more youtube,,13 năm trước
76,Very interesting can I ask how this would affect things such as Gmod videos and other videos created using video game characters and settings?,,12 năm trước
77,If I'm in Canada and do streaming of video games playthroughs walkthrough etc and if this bill is passed would this effect someone that is outside of the US?,,13 năm trước
78,They should wait with this bill until there will be politicians who actually know about games All the old guys should be retired,,13 năm trước
79,To be honest I dont understand WHY the people get mad if copyrighted stuff is on youtube or something else 1 People enjoy watching it It would probably make them go hey this is awesome I'll probably go buy it Its doesn't hurt anything just as long as they give CREDIT to the rightful owners 2 Because of seeing some good footage of it it will tell people if it sucks or if its great WHY DOES COMMON SENSE NEVER OCCUR TO PEOPLE,,12 năm trước
80,If this bill passes Justin Bieber could end up going to jail for 5 years Sigh I guess we can't have the best of both worlds,,12 năm trước
81,Bill Sgt8 will not stop anything if the bill passes I suspect many game companies including us will add a special clause to the TOS specifically to allow posting videos of their games Notch and just think about this it makes sensemost videos games devs want youtubes advertising power,,13 năm trước
82,yeah same question as the guy below me its november whats going with this bill now?,,12 năm trước
83,no need to worry the bill has been abandoned,,12 năm trước
84,And if video game companies are worried about game playthroughs ruining their businesses then a few words Don't make crap games,,12 năm trước
85,If Hollywoodmusicians is scared about loosing money becasue people post their things on the Internet why don't THEY post their own stuff on Youtube and profit with the advertisements? It's common sense Maybe videogame companies should get 12 from the adsense profit Same with the musicians Problem solved! No one gets hurt Everybody getting money Everybody feel warm happiness in their heart End of the story,,13 năm trước
86,Certain games are protected from this under Microsoft's Gaming Content Usage Rules like Halo Fable and Age of Empires These rules grant permission to all gamers to use their game for video purposes and such If this does pass I bet most game studios will immediately release similar rules to cover games like CoD Minecraft ext,,13 năm trước
87,The bill is a violation of a law that's already been issued for multiple years And that law states that nothing can by uploaded that's copyright without educational value or entertainment so everything he says above about the transformative work that we create making gameplay into commentary is forming it into what gamers see as thing with educational gameplay such as how to videos on like WOW black ops etc,,13 năm trước
88,It looks like you have never used a camera There is a feature where you can set it to start on its own so you can get into position,,12 năm trước
89,@NintendoVeteran8s that would happen but the bill already exist for a long time now and it's only being made to be a little more strict,,13 năm trước
90,Now with the Del Facto laws or after the fact laws Youtube Videos of footage before hand would not be forced to be shutdown,,11 năm trước
91,If this law happen tons of people will go to JAIL ALREADY,,13 năm trước
92,@TravelingPigeon In a way Yes Because all of youtubes servers are hosted in the US So even if you do live in another country youtube won't accept it because then youtube would be violating the bill Which means if people want to upload gaming footage A new video hosting site will have to be made outside the US,,13 năm trước
93,I am definately going to spread this around It will be heard throughout my school I will make sure of that Me and lots of other people would be shut down I don't want that Red VS Blue and a lot of other shows that I like would disappear Thumbs Up If you agree!!! D,,12 năm trước
94,This makes sense because if these coorperations really liked all the advertisement then they would give out permission to use their product to stream,,12 năm trước
95,Congress is considering passing a bill that could shut down gaming videos and streams It's called Bill Sgt8 This bill would shut down nova channel and channels like Rooster teeth machinima and other gaming channels all over the internet would be shut down Please research more information about this bill because i can't type it all I never say this in the comments but please thumb this up so people see and copy and paste to other vids like these onto other vids,,13 năm trước
96,Has anyone heard anything about Sgt8? I have been looking and I cant find a thing on it since it got put on the backburner a couple months or so ago,,12 năm trước
97,Question according to this bill if I used photoshop to draw a picture and i created a video tutorial out of that isn't this a public performance of copyrighted material? and how is that different from recording game footage?,,12 năm trước
98,what about Copyright Disclaimer Under Section 107 of the Copyright Act 1976 allowance is made for fair use for purposes such as criticism comment news reporting teaching scholarship and research Fair use is a use permitted by copyright statute that might otherwise be infringing Nonprofit educational or personal use tips the balance in favor of fair use,,12 năm trước
99,I've signed a petition to this bill and suggest to anybody else who believes that sgt8 is ridiculous should follow the link in the video details and sign Please every signature counts!!,,13 năm trước
100,I'll just sit and watch how this turns out,,13 năm trước
101,this bill passes all gaming companies will go out of business economy dies again,,13 năm trước
102,If there's injustice in your neighbourhood who you gunna call? ANONYMOUS!,,13 năm trước
103,If you stream content you don't own you should be held liable for it However making it a felony is ridiculous,,10 năm trước
104,Why is this showing up in my feed,,3 năm trước
105,i have constantly read comments talking crap about america yet i have still believed that america was the best country on earth but if this bill passes i'm gonna have to find a new favorite country,,13 năm trước
106,I have been editing videos on youtube and switching accounts because of copyright problemsunfair accusations just for using a song But I have worked my ass off for months to get better and when I finally get therethis shit happens I'm not even IN the states but I can assure everyone watching this video that I will do everything possible in my power to stop this bill from passing hell I'll even go to the USA! STOP THE BILL!!,,13 năm trước
107,@knarkbruker You have a point there But aren't most movie trailers released by the people who make the movie? I understand the reviews thought,,13 năm trước
108,ATTENTION This bill will effect everyone It does not matter where you live YouTube is based in America!,,13 năm trước
109,Did any one else know that anonymous group is taking action against this bill,,13 năm trước
110,If anything punishment shouldn't count unless people do things after the bill is released So if the bill happens in 2013 but someone did a vid in 2011 the 2011 vid shouldn't count Cuase at the time it was legal It's not like the government has a time machine that in their current time it's illega so they go back in the past and arrest the person That's ridiculous If anything the crimes that were done before the bill should be pardoned or people should take them down,,12 năm trước
111,I'm often searching for the games on Youtube checking out some gameplay and so on to see if its my type of game It would be sad if the bill would remove gameplays and streams from Youtube,,13 năm trước
112,*End of November* Congressman THE BILL HAS BEEN PASSE*gets shot by one of the rebels against the bill* *A massive battle of rebels and supporters happens* *Three months later* Reporter It's official the Human Cove War has begun! This is whats goin to happen if it gets passed who agrees?,,13 năm trước
113,imagine how many gamers would be in jail because of this,,12 năm trước
114,I did an essay about this bill for class and this video really helped me a lot,,11 năm trước
115,@ThundertonTV You are very correct but imagine if government does pass it and hackers do nothing Instead of telling people what you are it should be a plan B for us all In mean time we should just sign the petitions and do whatever we can,,12 năm trước
116,I WILL cry if this bill get passed,,13 năm trước
117,I started freaking outthen i noticed this was 2 years old lol,,11 năm trước
118,If they can actually send people to jail for this they are going to need a lot more jails,,12 năm trước
119,did this get passed? i read some sites today that the bill did infact got passed does anyone know?,,12 năm trước
120,It is LEGAL to streamupload videos of videogames if it is for educational purposeslike playthroughs as stated in the fair use law So Congress is really putting themselves in a pickle,,13 năm trước
121,Hey guys I got the BEST tomahawk kill in Black OPs Butwho can I share my excitement with??,,13 năm trước
122,so its not going to happen? Ever? Please tell me i have just found out about this in the video and im scared,,12 năm trước
123,Yeah I don't think this bill will affect games like cod or forza or fifa considering you're allowed to upload content directly from your console to the internet Moreover these video game companies want their games getting on YT because it's free advertising cod is huge because of YT Additionally YT itself wants these videos because it adds to their revenue w all the advertising think about all the video game ads you see before YT videos Honestly I wouldn't worry about this bill,,13 năm trước
124,@mkaatr you mean Photoshop being copyrighted or your drawing?,,12 năm trước
125,okay one thing i know is that you can upload footage of cod cause they allow ou to in theater modebut what about whiteboy or xjawz ordspgaming they still upload more than cod and i donkt understand if you can or not but if you add commentary are you allowed or notand dsp uploads all the games so i dont know about this id liketo know if anyone can tell me what you can do thanks,,12 năm trước
126,Someone should script a program that when Hollywood and other media pundits attempt to watch a video they are instead redirected to a suitably preachy video concerning fair use rights Make them suffer the way they've made us suffer!,,12 năm trước
127,A black man is president chaos would break free eventually,,13 năm trước
128,What's the status of this Bill? This video was made during the summer does anyone know what happened? Did it fail?,,12 năm trước
129,There is even worse than Sgt8 Proposed changes to the Computer Fraud and Abuse Act could make such streams illegal even without Sgt8,,13 năm trước
130,Guys dont worry! video game companies love the way people showcase and provide public attention towards their video games like the way we currently do using sites such as youtube So even if this bill passed the companies would most likely make changes regarding their legal department allowing people to continue uploading videos and if that was impossible to do they would just make no effort to enforce punishment on people Also im in canada so weeo! heellooooo viewers,,13 năm trước
131,That means that gamestop can't preview trailers of the games,,13 năm trước
132,they would be biting off WAY more than they can chew if they don't amend that,,12 năm trước
133,575 people want this bill to pass,,13 năm trước
134,@TheLahness Yes but as Phil said they're adding new additions to the list If it get's too powerful it might include more nations Really there's only a few countries that a company can run succesfully in USA UK Pretty much all of the UK Australia Canada And I can't think of anymore but there's probably a few more,,13 năm trước
135,Here's the plan guys if they pass this bill we all move to Canada,,12 năm trước
136,I don't care if it passes I will still continue to post gameplay videos It's my right as an American and I don't care what bill passes I already have a bill it's called the Bill of Rights,,12 năm trước
137,my question is how many ppl went to the site,,13 năm trước
138,Pay attention children The creators of this bill have stated that this bill is not intended for sites like Youtube but rather sites that profit from uploading copyrighted material This video is great but the topic is getting blown out of proportion Besides it's already illeagle to upload copyrighted material to the internet This will all blow over even if it is passed It's not like people on the internet follow the law as it is!,,13 năm trước
139,I think it's very unlikely that it would pass,,12 năm trước
140,@ShinRyizen I agree the bill as it is infringes on the rights of your people it also infringes on the rights of my country as well as it will effect things like youtube and then out freedom of artistic right will be stopped in some cases as youtube is in the US I think that this bill should have the only effects our citizens this could be considered an infringement on the basic rights of another nation,,13 năm trước
141,I hope supreme court shreds that bill with the first amendment! Freedom of Expression This will kill the internet and destroy internet profits! Users who rely on youtube for profit will lose money!,,13 năm trước
142,Will this just effect America or will foreign countries also not be able to post videos of games??,,13 năm trước
143,I agree with Phil when he say's take a stand on this I myself have written to congress via the link in the description Please do so and take a stand!!!,,13 năm trước
144,What if it's only illegal to dowload moviesmusicgamesshows but trailers and gameplay footage is legal?,,12 năm trước
145,its not a violation of privacy laws most of the videos reserve the rights to the company and they also work as advertisment,,13 năm trước
146,What will happen? Will it be illegal to quote the Intellectual property characters say in games? Games will FALL APART without the communities of gamers being able to read reviews,,12 năm trước
147,This actually wont be applied to youtube in a matter that applies for gaming,,13 năm trước
148,If this happenwethe gamer community will unite for our unique rebellionScrew jail and stuff we are not gonna back offWho the hell is with me people?,,13 năm trước
149,I suspect the reason is to get compensated for royalties which they cannot account for from youtube videos containing copyrighted works Unless they figured out a way for that already but either way its about money and theyll goto war for it,,12 năm trước
150,if that damned bill gets passed lots of the gamers in the US will revolt,,13 năm trước
151,is that a statue of Marcus Fenix holding a Boomshot?,,13 năm trước
152,Right now gameplay videos etc are like advertising It's true it actually helps companies It's the piracy that makes the companies lose money since for every gamemovie etc downloaded that usually means one less sale for them In the end I think this is just a further effort to stop piracy since they have failed to stop it and have run out of ideas At least this is from what I've understood so far,,12 năm trước
153,I'm doing a speech about this this week hoping to influence my classmates to not vote on this,,12 năm trước
154,No it would not fair use prevents that It's pretty simple,,12 năm trước
155,so apparently the bill does not affect youtube and sites like it only illegal sites that profit from illegally streaming videos,,12 năm trước
156,we gotta get chuck norris to talk to our congressmen,,13 năm trước
157,I'm pretty sure that gaming companies will put up something allowing you to show footage,,13 năm trước
158,can you talk about the protect ip bill? its worse then this one I never thought that could happen but it is,,13 năm trước
159,Do you expect the government to listen to us?,,13 năm trước
160,they better not band video games because I love them,,12 năm trước
161,Guy in prison 5 i videotaped a youtube video of a guy playing a videogame,,12 năm trước
162,does this affects only america?or does it affect europe also?,,13 năm trước
163,bad bills Civil disobedience Post your game videos abroad Far away from USA laws There is a whole world out there,,13 năm trước
164,How good so far this bill had not been moving in congress or to be voted yetand it better doesn't progress Well as soon as anyone makes nasty bills on net we won't just let it SOPA PIPA ACTA or whatever is the name,,12 năm trước
165,I agree with the bill Streams video clips and playthroughs cause a loss of profit for video game companies The only acceptable form of games shown online for free should be free trailers You want to watch a movie or a game? Then you should have to buy it There is no debating this Guys like DSP are the ones ruining it for others He is not the one stealing its all his youtube followers,,13 năm trước
166,So by their logic I can copyright standing in front of a camera and sue anyone who posts a video of a person standing in front of a camera? I should copyright a vid of congress meeting so every time they meet I can make money off the tv news stations What will they think of next a law against crossing the street?,,12 năm trước
167,i woud stop playing video games if this bill did pass because atleast once in my gameplay i want to watch other people play the gamemission so i can form on their footsteps,,13 năm trước
168,@Ebiin i mean if it gets passed will i go to jail or get fined,,13 năm trước
169,This hole bill thing is getting like Bill Sgt8 Youtube strikes back!,,13 năm trước
170,now its unthinkable that someone would be shutting down streams a gameplay videos D,,2 năm trước
171,the bill is never gonna go through lawlz,,12 năm trước
172,578 people are congressmen who hate video games,,13 năm trước
173,Does this applies to South America? Maybe a stupid question but is good to know,,12 năm trước
174,It's just being jailed for doing that for personal financial gain or saying that it is yours,,13 năm trước
175,this would make vevo a monopoly on youtube,,13 năm trước
176,@548 Are you kidding me? Our lawmakers know the internet isn't a big truck It's a series of tubes,,12 năm trước
177,Congress We'll pass the bill MarioNo! from Hotel Mario,,13 năm trước
178,I'm one of the people you mentioned who records amateur dubs of songs to karaoke tracks In fact I don't even HAVE a karaoke store in town other than Mardel which only has Christian stuff so I have to use the internet to download karaoke Also? I like JPop and Vocaloid stuff and that will go away and I won't even be able to FIND it anywhere in town In short? If this bill becomes a law I won't be able to do what I enjoy and share it with my friends TOTALLY against it,,12 năm trước
179,Viva La Resistance! Question is this bill still going cuz its 11272011 or is this now outdated ?,,12 năm trước
180,Man Victor is already in America,,12 năm trước
181,Bill Sgt8 will not affect YouTube users streamsso long as you don't make money off of the streams or Machinimas If any of you 10 year olds would actually read the damn bill you'd know that the 10 strike law already exists That derivative works ie MACHINIMAS LETS PLAYS YOUTUBE VIDEOS will not be affected in any way If it wasn't illegal before the bill's passing it won't be after it passes I promise PM me if you want to prove me wrong,,13 năm trước
182,Now lets see the American gaming community get off their butts and go protest this mess ya know outside!,,13 năm trước
183,I honestly dont know how many video games I have bought after seeing a lets play or a walkthrough maybe 7? I think video game videos do more advertising than any commercial,,13 năm trước
184,People are still commenting on this? Guys the bill didn't pass This happened like a month ago I'm pretty sure,,13 năm trước
185,So they want to sue us for free advertisement worst bill ever!,,12 năm trước
186,The bill will criminalize unauthorized streaming of copyright material FOR THE PURPOSE OF COMMERCIAL ADVANTAGE OR PERSONAL FINANCIAL GAIN Uploading a karaoke or a recording of a videogame on a free site like YouTube IS NOT AFFECTED BY THAT BILL Actually those actions are already against existing copyright laws and does that stop any of you?! NO Congratulations you win Justin Bieber This author is clearly biased in favor of the companies that MAKE A PROFIT FROM PIRACY Prolly owns 1 too,,12 năm trước
187,would it only be in the us or also europe?,,13 năm trước
188,It would be tragic to see machinima get shut down ',,13 năm trước
189,so does that mean Ee or ign will get shut down and gsl starcraft 2 tornoument,,12 năm trước
190,So to protect the videogamemusictvmarket you propose a bill to kill it?,,13 năm trước
191,@TallBoyBlue This bill was brought up by people in the industry We the people have the power to get involved and persuade them not to pass it The wars are mostly managed by the executive branch which isn't involved at this point The advantage of democracy is we have a say the disadvantage is that stuff gets done really slowly,,13 năm trước
192,Im not taking my gameplay vids off no matter what,,13 năm trước
193,we're slowly and slowly losing freedoms,,12 năm trước
194,Is this happenin' in the UK as well?,,13 năm trước
195,did this pass or no?,,13 năm trước
196,So farnope Sgt8 stalled and the most probable thing is that it's deadfor now,,11 năm trước
197,I think we have much bigger things to worry about then copyright Plus the companies are screwing themselves as well You said it's basically free advertising when they do playthroughsreviewswhatever What's going to happen to the industries?,,12 năm trước
198,jails are going to be crowdeddid they ever think about that? we already struggle enough with the money issues about jail,,12 năm trước
199,lets be clear it is ten videos within a 180 day period of the first so if you do vid 1 on day 1 and vid 10 on day 190 you are safe but you would have to upload each video with 32 days between each one,,13 năm trước
200,*guy gets thrown into jail* Guy 2 What you in for? Guy 1 Killed a guy you? Guy 2 Youtube,,13 năm trước
201,DSP would be a great lawyer,,12 năm trước
202,if anything recording gameplay of a video game should be promoting the game and actually helping the company,,13 năm trước
203,Basically America shoots their Internet industry down because some people are criminal and upload movies and music? sounds legit,,13 năm trước
204,as for the erasing gaming vids on youtube i think ive seen messages on certain videos about them not being available in the USsooo even though other countries can veiw them i think us in the us wont be able to also it might depend on whether youtube itself is based in the US or not,,13 năm trước
205,Even most media corps won't back this bill because it'll do more harm than good at least in its current form Personally I hope bills of this nature NEVER passes,,12 năm trước
206,DO NOT SUPPORT THIS BILL! It is the first trap in controlling the usage of said copyrighted works This is a trap and the sole purpose is to generate or attempt to gain loss of profit that they claim to should have received In other words this is the first step to monetizing public viewings and performances Imagine game review sites such as Gamespot IGN Gametrailers and even Gamestop They would be forced to pay to review their games because they are essentially sampling their work,,12 năm trước
207,how much for the tmnt statue?,,12 năm trước
208,I dont live in US so does this affect me?,,12 năm trước
209,@lightninglj We can not let this bleed into our gaming cyberspace,,12 năm trước
210,youtube would mean nothing to me if this happens,,13 năm trước
211,@knarkbruker Well maybe Video games but not really with movies You don't download a movie on the internet and then decide to buy a hard copy,,13 năm trước
212,@ABFanolo Think about the Bed intruder song 90000000 views in 1 year They sell it on iTunes they sell tshirts and everything They don't sell $35 CDs in stores and they don't do concerts But they made big money with the song on Youtube!,,13 năm trước
213,THUMB THIS UP SO EVERYBODY CAN SEE IT the bill sgt8 wont change shit its already illegal to post gaming videos without the permission from the developers of the game but the fact is that most developers like that you post videos about their game like in black ops you have theater mode sou can share clips and upload to youtube and when bill sgt8 comes out if it passes its still uåp to the developers of the game to remove content on youtube so just relax,,13 năm trước
214,@flyhiga No but I bet that there is a very large amount of people who watch movie trailers on YT that they wouldn't have seen if it wasn't on YT Also there is a big review community that tells you which movies are worth to see and which movies isn't YT helps the sales and popularity of videogames movies etc more most people think,,13 năm trước
215,If the bill passes and they lied and it will actually affect youtube or video game footage machinima youtube etc wont go out of business The United States does not get full control of the internet Besides how many people do you think will play along and go through the hassle of attacking things like this? It would be a waste of timederrr,,12 năm trước
216,2 things does it effect anywhere else and 2 some games will tweak terms and services,,13 năm trước
217,SHUT UP SPAMMERS we all know that this video isnt sponsored by apple and if you text the number you get an expensive phone bill,,13 năm trước
218,The congress needs to play more video games!!,,13 năm trước
219,I'm 12 years old in Canada and I have gaming videos other 10 views so does this effect me,,13 năm trước
220,i like how in one of phils most viewed video's it looks like he hasn't showered in a week,,12 năm trước
221,why was light then dark?,,12 năm trước
222,Very ThatGuyWithTheGlasses vibes here,,1 năm trước
223,Phil whats the update on this bill?,,13 năm trước
224,Remember when this was a big deal?,,13 năm trước
225,NOOOOO That means I would have to go to the store and buy a game's guidebook to help with achievementsand youtube videos make it easier to find collectables *prepares torches and pitchforks*,,12 năm trước
226,Doesn't matter the bill didn't get passed,,11 năm trước
227,Look at the date The bill was supposedly decided in September of last year Its December and a year later,,11 năm trước
228,If they pass this bill it will be end of ALL OF US!!!,,12 năm trước
229,soviet russia dosent seem so bad anymore,,13 năm trước
230,This is bad we have to stop this thing from happening,,12 năm trước
231,@jmanx2o That's not a question And it says it was uploaded last year because it was,,12 năm trước
232,But it will only imply for US i didn't hear that any other country will do it,,13 năm trước
233,630 law makers watched this,,12 năm trước
234,if con is the opposite of pro than congress is the opposite of progress,,13 năm trước
235,This is DSP's most viewed vid which is not a playthrough or a review I am sad,,13 năm trước
236,If this bill passes MAN all the good LPs Dap6a2 roosterteeth Attila Caprisun penguinz and all good LPs,,13 năm trước
237,Anonymous I hope you're watching,,12 năm trước
238,Wouldn't the bill be a contradiction? I mean MMO sites stream the game and stuff to your computer and then the websites themselves life RiotGames who stream feeds of tournaments of their own games Would they not be breaking the law?,,12 năm trước
239,Bugged mechanics nothing dsp could do dood!,,3 năm trước
240,this seems bad for internet radio,,13 năm trước
241,Guys about the gaming don't worry about the Bill okay game developers like it when we make videos and post it on YouTube thats why example Black Ops has Theater mode The only game company I would worry about is Rock Star Games because their known for taking down gaming footage so chill out nothings going to happen,,13 năm trước
242,wouldn't karaoke performances denote fairuse and conflict with this bill?,,13 năm trước
